User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail,Winrate
https://axie.zone//profile?ron_addr=0xf0bf8db5a77324df05238de6769bcb121b30588c,Dusk,Confused,Nimo,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xf0bf8db5a77324df05238de6769bcb121b30588c,Dusk,Clear,Gill,Furball,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xf0bf8db5a77324df05238de6769bcb121b30588c,Plant,Papi,Lotus,Pumpkin,Pincer,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x06348d1536187e22e45e82ca6da1739c3d4aab82,Bug,Bookworm,Larva,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x06348d1536187e22e45e82ca6da1739c3d4aab82,Dusk,Papi,Friezard,Pumpkin,Cute Bunny,Antenna,Carrot,0
https://axie.zone//profile?ron_addr=0x06348d1536187e22e45e82ca6da1739c3d4aab82,Aquatic,Little Owl,Bubblemaker,Goldfish,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0xbc93580ec6ac601f08bfcaa242c5e32115b217f4,Dusk,Mavis,Gill,Furball,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xbc93580ec6ac601f08bfcaa242c5e32115b217f4,Plant,Papi,Leafy,Pumpkin,Pincer,Parasite,Yam,0
https://axie.zone//profile?ron_addr=0xbc93580ec6ac601f08bfcaa242c5e32115b217f4,Dusk,Tricky,Friezard,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xf2ae6fdd8ff308440b3e3b7614698af29e30b02b,Aquatic,Gero,Pink Cheek,Anemone,Goda,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0xf2ae6fdd8ff308440b3e3b7614698af29e30b02b,Bird,Mavis,Pink Cheek,Pigeon Post,Little Owl,Eggshell,Hare,0
https://axie.zone//profile?ron_addr=0xf2ae6fdd8ff308440b3e3b7614698af29e30b02b,Aquatic,Gero,Bubblemaker,Anemone,Goda,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0x16e49134261c00e02bd49170a2b496091e6ead79,Dusk,Gero,Bubblemaker,Snail Shell,Cute Bunny,Lagging,Thorny Caterpillar,0
https://axie.zone//profile?ron_addr=0x16e49134261c00e02bd49170a2b496091e6ead79,Bird,Mavis,Inkling,Pigeon Post,Cute Bunny,Eggshell,Post Fight,0
https://axie.zone//profile?ron_addr=0x16e49134261c00e02bd49170a2b496091e6ead79,Plant,Papi,Lotus,Pumpkin,Cute Bunny,Leaf Bug,Hot Butt,0
https://axie.zone//profile?ron_addr=0x10865891f635651bf965d2e2a2f653fe719c5ae1,Aquatic,Clear,Nimo,Goldfish,Cute Bunny,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x10865891f635651bf965d2e2a2f653fe719c5ae1,Bug,Papi,Small Frill,Garish Worm,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x10865891f635651bf965d2e2a2f653fe719c5ae1,Plant,Confused,Hollow,Garish Worm,Zigzag,Beech,Cattail,0
https://axie.zone//profile?ron_addr=0xc3f4bf1f4337cd61a6dca0ece52f4e1635e6f35c,Aquatic,Clear,Bubblemaker,Ronin,Risky Fish,Oranda,Koi,0
https://axie.zone//profile?ron_addr=0xc3f4bf1f4337cd61a6dca0ece52f4e1635e6f35c,Plant,Papi,Clover,Pumpkin,Serious,Leaf Bug,Cattail,0
https://axie.zone//profile?ron_addr=0xc3f4bf1f4337cd61a6dca0ece52f4e1635e6f35c,Aquatic,Clear,Inkling,Ronin,Risky Fish,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x4145fc0877c09dc3ff967bf8068a6549ea75eb79,Plant,Papi,Hollow,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x4145fc0877c09dc3ff967bf8068a6549ea75eb79,Dusk,Clear,Gill,Shiitake,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x4145fc0877c09dc3ff967bf8068a6549ea75eb79,Reptile,Gecko,Curved Spine,Bone Sail,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0x8c9bd6dae4b825c4a0c9922bc968a415b83a854c,Bug,Mavis,Leafy,Garish Worm,Cute Bunny,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x8c9bd6dae4b825c4a0c9922bc968a415b83a854c,Bird,Mavis,Peace Maker,Pigeon Post,Cute Bunny,Eggshell,Post Fight,0
https://axie.zone//profile?ron_addr=0x8c9bd6dae4b825c4a0c9922bc968a415b83a854c,Plant,Cucumber Slice,Rosa,Buzz Buzz,Cute Bunny,Leaf Bug,Cattail,0
https://axie.zone//profile?ron_addr=0x9c8dfac61db380716e48c6b721e597b097be1999,Aquatic,Clear,Bubblemaker,Ronin,Risky Fish,Oranda,Koi,0
https://axie.zone//profile?ron_addr=0x9c8dfac61db380716e48c6b721e597b097be1999,Aquatic,Sleepless,Nimo,Perch,Lam,Babylonia,Nimo,0
https://axie.zone//profile?ron_addr=0x9c8dfac61db380716e48c6b721e597b097be1999,Aquatic,Gero,Tiny Fan,Anemone,Lam,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0x1cfe3352f26363d9d08f5a7e0a843bbb532eb51f,Plant,Papi,Lotus,Bidens,Serious,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0x1cfe3352f26363d9d08f5a7e0a843bbb532eb51f,Aquatic,Clear,Nimo,Risky Beast,Risky Fish,Cuckoo,Koi,0
https://axie.zone//profile?ron_addr=0x1cfe3352f26363d9d08f5a7e0a843bbb532eb51f,Aquatic,Clear,Inkling,Pigeon Post,Risky Fish,Arco,Nimo,0
https://axie.zone//profile?ron_addr=0x3618440e121a41ca88489598885f6cf5584cfff2,Aquatic,Clear,Bubblemaker,Jaguar,Cute Bunny,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x3618440e121a41ca88489598885f6cf5584cfff2,Dusk,Clear,Bubblemaker,Croc,Cute Bunny,Lagging,Thorny Caterpillar,0
https://axie.zone//profile?ron_addr=0x3618440e121a41ca88489598885f6cf5584cfff2,Plant,Kotaro?,Hollow,Bidens,Cute Bunny,Cactus,Cattail,0
